id,name,description,disease_id
1,Fungal Exposure,"Exposure to damp and moldy environments can increase the risk of fungal infections.",1
2,Immune System Weakness,"A weakened immune system can make it easier for fungi to cause infections.",1
3,Contaminated Surfaces,"Fungi can spread through contact with contaminated surfaces.",1
4,Acidic Diet,"High consumption of fatty foods can worsen GERD symptoms.",2
5,Smoking,"Smoking can exacerbate GERD symptoms by irritating the esophagus.",2
6,Obesity,"Excess weight can put pressure on the abdomen, worsening GERD.",2
7,Chronic Alcohol Consumption,"Alcohol can affect the liver’s ability to produce and release bile.",3
8,Hepatitis,"Chronic hepatitis can impair bile flow and cause cholestasis.",3
9,Drug Side Effects,"Certain medications can affect bile flow and cause cholestasis.",3
10,Allergic Reaction,"An allergic reaction to a medication can cause adverse effects.",4
11,Drug Interactions,"Interactions between medications can lead to unexpected reactions.",4
12,Improper Dosage,"Taking a medication in the wrong dosage can cause a drug reaction.",4
13,Spicy Foods,"Spicy foods can irritate the stomach lining and contribute to ulcers.",5
14,Long-term NSAID Use,"Prolonged use of nonsteroidal anti-inflammatory drugs can lead to ulcers.",5
15,Stress,"Stress can exacerbate symptoms of peptic ulcers.",5
16,Unprotected Sex,"Unprotected sex can increase the risk of contracting HIV.",6
17,Drug Sharing,"Sharing needles can transmit HIV and lead to AIDS.",6
18,Untreated Infections,"Untreated infections can weaken the immune system and lead to AIDS.",6
19,Contaminated Water,"Drinking contaminated water can lead to gastroenteritis.",7
20,Improper Food Handling,"Poor food handling practices can increase the risk of gastroenteritis.",7
21,Close Contact with Infected Individuals,"Close contact with those infected can spread gastroenteritis.",7
22,Allergens,"Exposure to allergens can trigger asthma symptoms.",8
23,Respiratory Infections,"Infections can worsen asthma symptoms by inflaming the airways.",8
24,Environmental Pollutants,"Pollutants can exacerbate asthma symptoms.",8
25,High Salt Intake,"Excessive salt can raise blood pressure and contribute to hypertension.",9
26,Stressful Lifestyle,"A high-stress lifestyle can impact blood pressure.",9
27,Obesity,"Excess weight can contribute to high blood pressure.",9
28,Alcohol Consumption,"Heavy alcohol consumption can lead to migraines.",10
29,Lack of Sleep,"Irregular sleep patterns can trigger migraines.",10
30,Stress and Anxiety,"Stress can be a common trigger for migraines.",10
31,Age-Related Changes,"Aging can cause wear and tear on spinal disks, leading to cervical spondylosis.",11
32,Repetitive Neck Movements,"Frequent neck movements can contribute to cervical spondylosis.",11
33,Injury or Trauma,"Neck injuries can lead to cervical spondylosis.",11
34,High Blood Pressure,"High blood pressure can lead to brain hemorrhages and subsequent paralysis.",12
35,Stroke,"A stroke can cause brain hemorrhage leading to paralysis.",12
36,Trauma or Injury,"Severe head trauma can result in brain hemorrhage and paralysis.",12
37,Alcohol Abuse,"Chronic alcohol abuse can lead to jaundice.",13
38,Hepatitis Infection,"Infections like hepatitis can cause jaundice.",13
39,Genetic Disorders,"Certain genetic disorders can lead to jaundice.",13
40,Mosquito Bites,"Mosquitoes transmit malaria parasites.",14
41,Travel to Endemic Areas,"Traveling to areas where malaria is common increases risk.",14
42,Poor Sanitation,"Poor sanitation can increase the risk of malaria transmission.",14
43,Unvaccinated Individuals,"Not receiving vaccination can lead to chickenpox.",15
44,Close Contact with Infected Individuals,"Being in close contact with those infected can spread chickenpox.",15
45,Inadequate Hygiene,"Poor hygiene practices can contribute to the spread of chickenpox.",15
46,Mosquito Bites,"Mosquitoes transmit dengue fever.",16
47,Travel to Endemic Regions,"Traveling to areas where dengue is common increases risk.",16
48,Inadequate Mosquito Protection,"Lack of mosquito protection can increase dengue risk.",16
49,Contaminated Food,"Eating contaminated food can lead to typhoid fever.",17
50,Unsanitary Drinking Water,"Drinking water contaminated with bacteria can cause typhoid.",17
51,Close Contact with Infected Individuals,"Being in close contact with those infected can spread typhoid.",17
52,Inadequate Sanitation,"Poor sanitation can increase the risk of hepatitis A infection.",18
53,Contaminated Water or Food,"Ingesting contaminated food or water can cause hepatitis A.",18
54,Unvaccinated Individuals,"Lack of vaccination increases the risk of hepatitis A.",18
55,Unprotected Sex,"Unprotected sex can lead to hepatitis B infection.",19
56,Sharing Needles,"Needle-sharing can transmit hepatitis B virus.",19
57,Infected Blood Products,"Receiving infected blood products can cause hepatitis B.",19
58,Sharing Needles,"Sharing needles can transmit hepatitis C virus.",20
59,Infected Blood Products,"Receiving infected blood products can cause hepatitis C.",20
60,Unprotected Sex,"Unprotected sex can lead to hepatitis C infection.",20
61,Infection with Hepatitis B,"Hepatitis D virus requires the presence of hepatitis B.",21
62,Sharing Needles,"Needle-sharing can transmit hepatitis D virus.",21
63,Unprotected Sex,"Unprotected sex can lead to hepatitis D infection.",21
64,Contaminated Water,"Drinking contaminated water can lead to hepatitis E.",22
65,Inadequate Sanitation,"Poor sanitation increases the risk of hepatitis E infection.",22
66,Unvaccinated Individuals,"Lack of vaccination increases the risk of hepatitis E.",22
