disease_id,disease_name,disease_desc,recommendation_for_disease
1,Fungal infection,"A fungal infection is an inflammatory condition caused by a fungus.","Maintain good hygiene, avoid damp environments, and use antifungal medication as prescribed by a healthcare provider."
2,GERD,"Gastroesophageal reflux disease (GERD) is a long-term condition where stomach contents come back up into the esophagus resulting in either symptoms or complications.","Avoid large meals, reduce intake of fatty foods, and elevate the head while sleeping."
3,Chronic cholestasis,"Chronic cholestasis is a condition where bile cannot flow from the liver to the duodenum.","Follow a low-fat diet, avoid alcohol, and take medications to manage bile acid levels."
4,Drug Reaction,"A drug reaction is an adverse effect resulting from a medication.","Discontinue the suspected medication and consult a healthcare provider for an alternative treatment."
5,Peptic ulcer disease,"Peptic ulcer disease involves sores that develop on the inside lining of your stomach and the upper portion of your small intestine.","Avoid spicy foods, reduce NSAID use, and take prescribed proton pump inhibitors."
6,AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV).","Adhere to antiretroviral therapy, maintain a healthy lifestyle, and avoid exposure to infections."
7,Gastroenteritis,"Gastroenteritis is an intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, consume electrolyte solutions, and rest."
8,Bronchial Asthma,"Bronchial asthma is a condition where the airways narrow and swell and may produce extra mucus.","Use prescribed inhalers, avoid triggers, and follow an asthma action plan."
9,Hypertension,"Hypertension is a condition in which the force of the blood against the artery walls is too high.","Monitor blood pressure regularly, reduce salt intake, and take prescribed medications."
10,Migraine,"A migraine is a headache of varying intensity, often accompanied by nausea and sensitivity to light and sound.","Avoid known triggers, maintain a regular sleep schedule, and use prescribed medications."
11,Cervical spondylosis,"Cervical spondylosis is age-related wear and tear affecting the spinal disks in your neck.","Perform neck exercises, use a supportive pillow, and consider physical therapy."
12,Paralysis (brain hemorrhage),"Paralysis due to brain hemorrhage is the loss of muscle function in part of your body.","Seek immediate medical attention, follow rehabilitation programs, and consider physical therapy."
13,Jaundice,"Jaundice is a condition in which the skin, whites of the eyes, and mucous membranes turn yellow due to high bilirubin levels.","Identify and treat the underlying cause, ensure proper hydration, and consider phototherapy if advised."
14,Malaria,"Malaria is a serious disease transmitted by mosquitoes, causing fever, chills, and flu-like illness.","Take antimalarial drugs as prescribed, use mosquito nets, and apply insect repellent."
15,Chicken pox,"Chickenpox is a highly contagious viral infection causing an itchy, blister-like rash.","Stay hydrated, use calamine lotion for itching, and avoid scratching to prevent infection."
16,Dengue,"Dengue is a mosquito-borne viral infection causing flu-like symptoms.","Rest, stay hydrated, and take acetaminophen to relieve pain and reduce fever."
17,Typhoid,"Typhoid fever is a bacterial infection that can spread throughout the body affecting many organs.","Take prescribed antibiotics, ensure good sanitation, and consume only safe drinking water."
18,Hepatitis A,"Hepatitis A is a viral liver disease that can cause mild to severe illness.","Get vaccinated, practice good hygiene, and avoid contaminated food and water."
19,Hepatitis B,"Hepatitis B is a serious liver infection caused by the hepatitis B virus.","Get vaccinated, avoid sharing needles, and practice safe sex."
20,Hepatitis C,"Hepatitis C is a viral infection that causes liver inflammation, sometimes leading to serious liver damage.","Avoid sharing needles, get regular medical check-ups, and take antiviral medications as prescribed."
21,Hepatitis D,"Hepatitis D is a liver infection caused by the hepatitis D virus and occurs only in those infected with hepatitis B.","Get vaccinated for hepatitis B, avoid sharing needles, and practice safe sex."
22,Hepatitis E,"Hepatitis E is a liver disease caused by the hepatitis E virus.","Ensure good sanitation, avoid contaminated food and water, and get vaccinated if available."
23,Alcoholic hepatitis,"Alcoholic hepatitis is inflammation of the liver caused by drinking alcohol.","Stop drinking alcohol, follow a nutritious diet, and seek medical treatment."
24,Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis bacteria.","Take the full course of prescribed antibiotics, practice good hygiene, and avoid close contact with others."
25,Common Cold,"The common cold is a viral infection of the nose and throat.","Rest, stay hydrated, and use over-the-counter cold medications to relieve symptoms."
26,Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs.","Take prescribed antibiotics, rest, and stay hydrated."
27,Dimorphic hemorrhoids (piles),"Hemorrhoids are swollen veins in the lower part of the anus and rectum.","Consume a high-fiber diet, stay hydrated, and use topical treatments to reduce symptoms."
28,Heart attack,"A heart attack occurs when the flow of blood to the heart is blocked.","Seek immediate medical attention, take prescribed medications, and follow a heart-healthy lifestyle."
29,Varicose veins,"Varicose veins are swollen, twisted veins that lie just under the skin.","Avoid standing for long periods, elevate your legs, and wear compression stockings."
30,Hypothyroidism,"Hypothyroidism is a condition in which the thyroid gland doesn't produce enough thyroid hormone.","Take prescribed thyroid hormone replacement medication, eat a balanced diet, and get regular blood tests."
31,Hyperthyroidism,"Hyperthyroidism is a condition in which the thyroid gland produces too much thyroid hormone.","Take prescribed antithyroid medications, avoid iodine-rich foods, and consider radioactive iodine therapy if recommended."
32,Hypoglycemia,"Hypoglycemia is a condition caused by low blood glucose levels.","Eat small, frequent meals, monitor blood sugar levels regularly, and carry glucose tablets."
33,Osteoarthritis,"Osteoarthritis is a degenerative joint disease causing pain and stiffness.","Exercise regularly, maintain a healthy weight, and take pain relievers as prescribed."
34,Arthritis,"Arthritis is inflammation of one or more joints causing pain and stiffness.","Take anti-inflammatory medications, perform low-impact exercises, and use hot or cold therapy."
35,(vertigo) Paroxysmal Positional Vertigo,"Benign paroxysmal positional vertigo (BPPV) causes brief episodes of mild to intense dizziness.","Perform the Epley maneuver, avoid sudden head movements, and seek vestibular rehabilitation therapy."
36,Acne,"Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.","Use topical treatments, avoid picking or squeezing pimples, and maintain a regular skincare routine."
